Customer_ID,Customer_Name,Gender,Age,City,Total_Orders,Total_Sales,Total_Profit,Avg_Order_Value,Customer_Segment,,Segment,Customer_Count,Total_Sales
CUST0001,Rahul Sharma,Male,35,Mumbai,2,?911.76,?129.82,455.88,Medium Value,,High Value,822,"?2,295,669.79"
CUST0002,Priya Patel,Female,28,Pune,6,"?1,400.54",?234.39,233.4233333,High Value,,Medium Value,106,"?81,383.65"
CUST0476,Pooja Iyer,Male,39,Hyderabad,5,?920.27,?170.98,184.054,Medium Value,,Low Value,69,"?20,808.00"
CUST0701,Sneha Sharma,Female,41,Kolkata,5,"?1,742.01",?295.75,348.402,High Value,,,,
CUST0754,Riya Shah,Female,29,Ahmedabad,6,"?1,857.63",?311.50,309.605,High Value,,,,
CUST0240,Pooja Kapoor,Female,20,Lucknow,4,?658.65,?85.99,164.6625,Medium Value,,,,
CUST0041,Manish Reddy,Female,25,Bengaluru,3,?932.80,?170.91,310.9333333,Medium Value,,,,
CUST0593,Sahil Gupta,Male,61,Jaipur,3,?713.08,?97.04,237.6933333,Medium Value,,,,
CUST0530,Pooja Reddy,Male,31,Bengaluru,6,"?4,681.30",?819.06,780.2166667,High Value,,,,
CUST0499,Priya Shah,Female,61,Hyderabad,8,"?4,876.01",?991.32,609.50125,High Value,,,,
CUST0527,Vikram Sharma,Female,42,Lucknow,6,"?4,564.57",?669.13,760.7616667,High Value,,,,
CUST0425,Isha Patel,Female,33,Ahmedabad,5,"?3,408.83",?576.39,681.766,High Value,,,,
CUST0663,Priya Mehta,Female,64,Bengaluru,7,"?6,650.13","?1,122.21",950.0185714,High Value,,,,
CUST0645,Meera Shah,Male,38,Hyderabad,4,"?1,126.72",?120.61,281.68,High Value,,,,
CUST0622,Meera Mehta,Male,40,Chennai,11,"?4,866.98",?881.49,442.4527273,High Value,,,,
CUST0639,Manish Shah,Male,45,Pune,4,"?2,554.53",?332.51,638.6325,High Value,,,,
CUST0071,Anjali Joshi,Female,57,Jaipur,5,"?5,327.80",?934.60,1065.56,High Value,,,,
