Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,Product_ID,Product_Name,Category,Quantity,Unit_Price,Sales_Amount,Discount,Profit,Payment_Method
ORD00001,1/3/2025,CUST0001,Rahul Sharma,Male,35,Mumbai,PROD001,Parle-G Biscuits,Snacks,3,30,90,0.05,18,UPI
ORD00002,1/4/2025,CUST0002,Priya Patel,Female,28,Pune,PROD002,Tata Salt,Groceries,2,28,56,0,12,Credit Card
ORD00003,5/3/2025,CUST0476,Pooja Iyer,Male,39,Hyderabad,PROD017,Good Day Cookies,Snacks,2,50.48,100.96,0.15,7.02,Net Banking
ORD00004,10/17/2025,CUST0701,Sneha Sharma,Female,41,Kolkata,PROD006,Tata Tea,Beverages,3,122.03,366.09,0,64.53,Credit Card
ORD00005,5/16/2025,CUST0754,Riya Shah,Female,29,Ahmedabad,PROD016,Thums Up,Beverages,6,38.24,229.44,0.1,24.66,Debit Card
ORD00006,8/21/2025,CUST0240,Pooja Kapoor,Female,20,Lucknow,PROD002,Tata Salt,Groceries,4,28.78,115.12,0.05,15.96,UPI
ORD00007,5/21/2025,CUST0041,Manish Reddy,Female,25,Bengaluru,PROD011,Colgate Toothpaste,Personal Care,2,100.28,200.56,0.15,32,Debit Card
ORD00008,12/1/2025,CUST0593,Sahil Gupta,Male,61,Jaipur,PROD018,Nescafe Coffee,Beverages,3,191.23,573.69,0.1,73.37,UPI
ORD00009,6/30/2025,CUST0530,Pooja Reddy,Male,31,Bengaluru,PROD009,Aashirvaad Atta,Groceries,7,273.98,1917.86,0,321.78,Debit Card
ORD00010,4/28/2025,CUST0499,Priya Shah,Female,61,Hyderabad,PROD016,Thums Up,Beverages,1,41.01,41.01,0,6.35,UPI
ORD00011,3/2/2025,CUST0527,Vikram Sharma,Female,42,Lucknow,PROD009,Aashirvaad Atta,Groceries,4,243.13,972.52,0,137.69,Credit Card
ORD00012,10/30/2025,CUST0425,Isha Patel,Female,33,Ahmedabad,PROD011,Colgate Toothpaste,Personal Care,2,97.11,194.22,0.1,28.22,Credit Card
ORD00013,3/24/2025,CUST0663,Priya Mehta,Female,64,Bengaluru,PROD014,Kellogg's Corn Flakes,Groceries,1,207.18,207.18,0,36.77,Credit Card
ORD00014,5/13/2025,CUST0645,Meera Shah,Male,38,Hyderabad,PROD017,Good Day Cookies,Snacks,1,54.18,54.18,0,4.85,Credit Card
ORD00015,4/21/2025,CUST0530,Pooja Reddy,Male,31,Bengaluru,PROD013,Britannia Bread,Dairy,1,48.68,48.68,0.05,11.15,Cash
ORD00016,10/26/2025,CUST0622,Meera Mehta,Male,40,Chennai,PROD016,Thums Up,Beverages,8,39.02,312.16,0.1,51.17,Credit Card
ORD00017,11/2/2025,CUST0639,Manish Shah,Male,45,Pune,PROD017,Good Day Cookies,Snacks,5,48.76,243.8,0.05,54.85,Net Banking
ORD00018,9/25/2025,CUST0071,Anjali Joshi,Female,57,Jaipur,PROD008,Dove Soap,Personal Care,7,55.43,388.01,0,32.13,Net Banking
